species	UKOTs	n	remarks
Procyon lotor	KY	4	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis carolinensis	BM	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis carolinensis	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis carolinensis	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis carolinensis	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis equestris	AI	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis equestris	BM	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis equestris	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis equestris	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis equestris	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga erythrogenys	AI	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga erythrogenys	BM	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga erythrogenys	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga erythrogenys	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga erythrogenys	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Canis familiaris	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Capra hircus	AI	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Capra hircus	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Capra hircus	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Herpestes auropunctatus	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Herpestes auropunctatus	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Iguana iguana	AI	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Iguana iguana	BM	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Molothrus bonariensis	AI	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Molothrus bonariensis	BM	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Molothrus bonariensis	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Molothrus bonariensis	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Procyon lotor	AI	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Procyon lotor	BM	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Procyon lotor	MS	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Procyon lotor	TC	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Procyon lotor	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Python molurus bivittatus	KY	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Python molurus bivittatus	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Ramphotyphlops braminus	VG	3	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
