Species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Python molurus bivittatus	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	Burmese phyton (ISC)	NA	Puerto Rico;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Ramphotyphlops braminus	NA	NA	1	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Anguilla;Cayman Islands;Aruba;St. Martin (France);	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db, GRIIS	Alien	Chordata
Rattus norvegicus	NA	6	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	Brown rat;Norway rat;Rata de noruega (DR);	Terrestrial	"Jamaica;Bahamas Islands;Dominican Republic;Curacao;Dominica;Trinidad-
Tobago;Anguilla;Montserrat;British Virgin Islands (Anegada Island);Turks-
Caicos;Cayman Islands (Cayman Brac,Grand Cayman,Little Cayman);
Bermuda;US Virgin Islands;Martinique;Guadeloupe;"	"Jamaica;Bahamas Islands;Curacao;Do minica;Trinidad-Tobago;Dominican Republic;
Bermuda;British Virgin Islands (Anegada Island);Cayman Islands (Cayman Brac, Grand
Cayman,Little Cayman);Guadeloupe;Martinique;Montserrat;US Virgin Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db, GRIIS	Alien	Chordata
Rattus rattus	NA	14	5	3	NA	3	"Vertebrate -
Mammal"	NA	"Black rat, Roof rat (Jamaica);Ship rat (Bahamas
Islands);Rato de tejado (DR);"	Terrestrial	"Jamaica;Bahamas Islands;Dominican Republic;Monito Island;Antigua-
Barbuda;Dominica;Trinidad-Tobago;Curacao;Barbados;Anguilla;Montserrat;
British Virgin Islands (Anegada Island,Tortola Island);Turks and Caicos Islands;Cayman
Islands;Bermuda;US Virgin Islands;Martinique;Guadeloupe;St. Martin
(France);Fajou island;"	"Jamaica;Bahamas Islands;Dominican Republic;Monito Island;Antigua-Barbuda;
Dominica;Trinidad-Tobago;Curacao;Barbados;Cayman Islands;Bermuda;British Virgin
Islands (Anegada Island, Tortola Island);Guadeloupe;Martinique;Fajou
Island;Montserrat;St. Martin (France);Turks and Caicos Islands;US Virgin Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db, GRIIS	Alien	Chordata
Streptopelia decaocto	NA	NA	9	NA	20	24	Vertebrate - Bird	NA	Eurasian collared dove;collared dove;	Terrestrial	"Bahamas Islands;Antigua-Barbuda;St. Martin;Trinidad; Montserrat; Turks-
Caicos;Cayman Islands;Netherlands Antilles;Martinique;Dominica;
Guadeloupe;St. Kitts-Nevis;Cuba;"	Bahamas Islands;St. Martin;Trinidad;Guadeloupe;Martinique;	NA	Caribbean_IAS_db	NA	NA
Sturnus vulgaris	NA	3773	NA	NA	NA	NA	Vertebrate - Bird	NA	Common starling(ISC)	Terrestrial	Bermuda;	Bermuda;	NA	Caribbean_IAS_db, GRIIS	Alien	Chordata
Sus scrofa	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	Pig (feral);hog	Terrestrial	"Jamaica;Bahamas Islands;Curacao;Dominica;Puerto Rico;US Virgin
Islands;Montserrat;Dominican Republic;"	"Jamaica: Bahamas
Islands;Curacao;Do minica;Puerto Rico;US Virgin Islands;Montserrat;"	NA	Caribbean_IAS_db	NA	NA
"Sylvilagus floridianus
nigronuchalis"	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	cottontail rabbit;	Terrestrial	Curacao;	NA	NA	Caribbean_IAS_db	NA	NA
Tiaris olivacea	NA	NA	NA	NA	NA	NA	Vertebrate - Bird	NA	Ciguita de hierba (DR);Yellow-faced Grassquit	Terrestrial	Dominican Republic;	Dominican Republic	NA	Caribbean_IAS_db	NA	NA
Tilapia zillii	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	NA	freshwater	Antigua-Barbuda;	NA	NA	Caribbean_IAS_db	NA	NA
