species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Anolis maynardi	NA	NA	41	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Cayman Islands;	Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis porcatus	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Dominican Republic;	Dominican Republic;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis richardii	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	Terrestrial	Tobago;	Tobago;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis sagrei	2	NA	362	NA	6	8	Vertebrate - Reptile	NA	NA	Terrestrial	Grenada;	Grenada;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis trinitatis	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	Terrestrial	Trinidad-Tobago;Venezuela;	Trinidad;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis wattsi	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	Terrestrial	Trinidad;St. Lucia;	Trinidad;St. Lucia;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anthonomus grandis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Mexican Cotton Boll Weevil(ISC)	NA	Venezuela;	Venezuela;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Aphenlinus disapids	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Golden chaclid;	Terrestrial	Jamaica;	Jamaica;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aphis gossypii	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Melon aphid;cotton aphid	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aphis nerii	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Oleander aphid	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aphis spiraecola	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Spirea aphid;	Terrestrial	"Bahamas Islands;Bermuda;Barbados;Cuba;Bonaire;Dominica;Dominican
Republic;Jamaica;Guadeloupe;Martinique;Netherlands Antilles;Puerto Rico;St.
Vincent-Grenadines;Trinidad-Tobago;US Virgin
Islands;Guyana;Suriname;Venezuela;"	"Bermuda;Bahamas Islands;Barbados;Cuba;Bonaire;Dominica;Dominican
Republic;Jamaica;Guadeloupe;Martinique;Netherlands Antilles;Puerto Rico;St. Vincent-
Grenadines;Trinidad-Tobago;US Virgin Islands;Guyana;Suriname;Venezuela;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Apis mellifera scutellata	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Africanised Honey Bee	Terrestrial	Puerto Rico;Bermuda;	Puerto Rico;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aratinga pertinax	NA	NA	NA	NA	NA	3	Vertebrate - Bird	NA	Brown-throated parakeet	Terrestrial	Trinidad;	Trinidad;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Artemia cysts	NA	NA	NA	NA	NA	NA	"Invertebrate -
Crustacean"	NA	Brine shrimp;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aulacaspis yasumatsui	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Asian White Scale;sago palm scale;cycad
aulacaspis scale"	Terrestrial	Puerto Rico;St. Thomas;Barbados;Cayman Islands;US Virgin Islands;	Puerto Rico;St.Thomas;Barbados;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Azeta melanea	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Gliricidia moth	NA	NA	NA	"Colmenarez Yelitza, Ian Gibbs and Matthew Ciomperlik. Challenges
and successes in the"	Caribbean_IAS_db	NA	NA
Balanus amphitrite	NA	4	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	Striped barnacle, Purple acorn barnacle	Marine	Florida;Texas;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Balanus reticulates	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A barnacle	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Balanus trigonus	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A barnacle	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Batrachedra nuciferae	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Coconut moth	NA	Trinidad;	NA	"""The Caribbean Pest Information Network.""
<http://caripestnetwork.org/component/content/article/53-class-
insecta/68-lepidoptera.html> (Aug. 5, 2011)."	Caribbean_IAS_db	NA	NA
Belonesox belizanus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Pike killifish	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Bemisia tabaci	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Mosca Blanca Dominican Republic);White fly
(Dominican Republic);Tobacco
whitefly;Silverleaf;Sweet Potato whitefly;"	Terrestrial	Curacao;St. Kitts-Nevis;Puerto Rico;Dominican Republic;Bermuda;Jamaica;	Curacao;St. Kitts-Nevis;Puerto Rico;Dominican Republic;Jamaica;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
"Bephratelloides
paraguayensis"	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Chalcid fly	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Betta sp.	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	NA	Freshwater	Dominican Republic;Haiti;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Betta splendens	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Betta;Siamese Fighting Fish;	Freshwater	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The"	Caribbean_IAS_db	NA	NA
Biomphalaria straminea	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	Freshwater	Martinique;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Boa constrictor imperator	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Puerto Rico;Aruba;	Puerto Rico;Aruba;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Boccardiella ligerica	NA	NA	NA	NA	NA	NA	"Invertebrate -
Annelid"	NA	A spionid worm	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Bos taurus	NA	NA	NA	NA	NA	1	"Vertebrate -
Mammal"	NA	Domestic cow;Holstein;	Terrestrial	Bahamas Islands;Turks and Caicos Islands;British Virgin Islands;Cayman Islands;	British Virgin Islands;Cayman Islands;Turks and Caicos Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Botrylloides perspicuus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Tunicate"	NA	NA	Marine	Belize;	NA	"CABI,2012. Botrylloides perspicuus. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Botryllus schlosseri	NA	NA	NA	NA	NA	NA	"Invertebrate -
Ascidian/Tunicate"	NA	Golden star tunicate	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Branta canadensis	NA	266	6	NA	1	NA	Vertebrate - Bird	NA	NA	NA	Bermuda;Jamaica;Venezuela;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
